Dates;bitcoin;litecoin;ripple;dogecoin;monero;stellar;tether;ethereum;ethereum-classic;bitcoin-cash;binancecoin;cardano;tron;chainlink;maker;usd-coin;matic-network;solana;polkadot;avalanche-2;staked-ether
2013-12-04;1121.48;42.9471;0.0543969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-05;989.04;39.1735;0.0541564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-06;1019.66;30.2663;0.0469207;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-07;811.98;24.44;0.0346756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-08;743.11;24.7548;0.034439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-09;897.89;30.6586;0.0386676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-10;927.78;35.1318;0.0437476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-11;887.08;30.9011;0.0380613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-12;878.17;30.9343;0.034566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-13;897.27;30.7196;0.034352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-14;866.99;30.5495;0.0322093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-15;854.62;30.9159;0.0290606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-16;789.15;26.3484;0.0234149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-17;691.65;23.2584;0.0183658;0.000218176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-18;559.36;15.8564;0.0168461;0.000267749;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-19;677.84;18.0604;0.0207833;0.000475099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-20;694.25;18.3596;0.0214271;0.000988898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-21;596.12;16.9291;0.0215525;0.000437897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-22;650.27;17.0944;0.0220126;0.00040512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-23;645.75;17.344;0.0231614;0.000329784;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-24;659.94;17.4283;0.0225342;0.000711694;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013-12-25;668.74;20.0852;0.0219629;0.000581665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
