Dates;bitcoin;litecoin;ripple;dogecoin;monero;stellar;tether;ethereum;ethereum-classic;bitcoin-cash;binancecoin;cardano;tron;chainlink;maker;usd-coin;matic-network;solana;polkadot;avalanche-2;staked-ether
2015-11-01;582434357.3722049;154388319.3415894;485170.99999999994;29637.156218352346;25992.37779248014;7724.406941064511;24088;603996.1990296076;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-02;636690229.0056115;185374294.21852562;583592.0;27562.830618566466;33627.92642320352;1386.924635295868;20445;970665.6783058537;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-03;987283928.3196412;390926288.14867795;1025490.0000000001;79480.44411892659;62740.20087237776;6050.413691920879;17806;1878273.0109212757;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-04;984425381.794543;378909815.09341687;1275000.0;137206.7542702141;82466.12441337148;10384.21539144164;100936;3218064.880847628;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-05;913505444.7997164;287969240.91341686;1246000.0;48408.79312286967;18519.34722242835;5163.577850758996;168417;1202885.3800460405;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-06;770242854.4761926;226966476.0974755;794178.0000000001;65268.185189953074;16775.42489330568;4148.044314234224;227269;913629.1696859167;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-07;462741972.46864593;106717983.4926377;363671.0;35384.80269117776;15016.008568438137;1208.7185304310856;369740;904631.8699629814;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-08;264157489.62253815;63490792.365877934;315374.0;27487.738233126358;49049.222671988726;896.5674510341005;1258310;1040086.7545033679;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-09;420137368.36575645;124765013.77184856;304132.0;28794.29100499697;33126.186811289444;870.8008775322293;15103;1972521.3874033373;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-10;620473336.3692106;122226954.75631385;406969.0;49928.90394089339;29368.276205633396;2014.7652124749718;15769;865031.5412400892;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-11;572707252.5268553;73656497.49606267;453354.0000000002;133255.69512190903;38722.3821649534;900.7413032113055;26146;1243322.7527190507;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-12;546923067.4696827;82249609.31930554;488064.9999999999;118459.76058307437;45044.30757883547;1970.4241450099726;24572;826829.6689207307;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-13;414918018.06742084;59476979.48050008;335490.0;24032.95671241892;25080.804350745297;839.2189314108305;36010;545086.2658886773;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-14;131135195.6401858;28922107.990018662;137048.00000000003;30901.12059281195;19728.5714297742;324.0222614772817;68635;361586.11600976856;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-15;237800138.65869674;34126461.41565653;274004.0;29823.419291566795;20334.009082982913;63.11418843798597;12193;432023.407831642;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-16;239442892.6065092;28295861.365276895;221757.00000000003;43680.813586862656;16895.763339720048;322.8500671720697;28790;616346.9298519328;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-17;236625919.2712964;32232694.96991639;251917.0;40013.71052491786;11633.496416023514;209.1080285566727;14532;1128249.5445129166;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-18;185981663.2942105;21587723.98452677;250304.99999999997;73467.75472570151;18875.36124363435;1499.049381801562;21419;687203.3331021931;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-19;206391901.26959464;28301982.294042323;176114.0;47899.0483189007;25365.739054278463;659.9125239249803;6311;434385.481510446;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-20;123560944.18387257;26332567.35140283;290405.0;32704.40574847099;9349.585799922437;835.0858750210953;20001;606560.338362119;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-21;199949522.188539;21016227.409294438;205373.99999999997;24654.76691201928;29770.517492526546;999.0609513437598;8107;454926.9190034523;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-22;167053005.3954258;13643762.074675635;173958.0;9558.460887590216;8601.952782186516;88.4653463767537;6555;371962.8833336563;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-23;188739479.4368917;13473309.26469273;311516.0;67605.49992720346;7844.093333885059;113.99807975611328;6018;437126.39426833094;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-24;103800161.90899219;14728764.857574191;178928.00000000003;52619.22311560611;13084.622524333701;656.6247520945327;29996;354914.08621214016;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-25;714595229.5358595;74193040.11893724;203574.99999999997;27584.41053114438;18847.656524698155;1121.8792547447124;6187;708867.1776788787;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-26;1237550807.6515267;326563800.59259635;387565.0000000001;60398.42464090833;28956.7300112118;2047.9945632262722;9823;959696.4719438321;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-27;895711315.7104639;129454014.63856252;205816.0;33219.623267521194;30110.760293918596;1447.5113629146217;17537;398595.4996438545;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-28;667783121.7836893;26399920.400116693;198598.0;28000.841338923576;15695.310197946212;1540.8142693655598;6911;465064.93868912815;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-29;921927632.1582325;92133459.26668166;198012.00000000003;34292.73160719577;13688.591293059173;2795.215860116491;21482;436939.13020833576;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-11-30;1299027009.4916246;276293954.9130959;272886.0;46514.31042026009;29864.460524786467;2192.9353625054932;138902;775372.5405749859;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-01;523072117.50624603;170569261.16050088;310073.0;45149.73141285984;19351.645947338893;345.88713988872377;303493;643109.8579217136;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-02;1153668371.9578505;205471131.99208117;330056.0;35444.394742508804;15531.320858515362;487.298514291473;128383;494205.89284799533;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-03;1149814390.1438584;164594089.157688;138497.0;60382.43256757566;18630.355288044746;215.21982252556418;199602;541681.1368684795;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-04;1039912869.9731772;120331435.4919444;900239.9999999998;39440.9506865876;21673.349859436767;397.8879842990421;135262;241947.49444270384;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-05;1426331736.1368082;199976410.6255325;739699.0000000001;50548.1972390763;57868.732680052664;1506.1145859283813;6786;226084.41071520853;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-06;1512626609.7304864;291675450.98555064;998953.0000000001;55895.039740877684;43285.967915502675;1349.0149866661761;28380;429681.2894745185;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-07;1282263557.3988562;305649146.5412917;755691.9999999998;54005.07433434456;28509.134134695247;60.62944616114281;214181;494657.61802976346;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-08;954462002.2518704;231609208.097579;2402450.0;123893.8083314761;40160.14963588239;5106.083146558908;10077;435966.80884823814;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-09;1528970867.732093;323413586.6967773;5761720.000000001;163579.35012983682;36748.266877022426;12093.999837308495;16627;627128.9260492469;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-10;1275837073.4425912;203144651.62647057;3200960.0;113437.60911437521;22960.57953346936;1527.0701834993151;8642;374543.00586710183;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-11;1623480958.4502342;299309352.0062718;3438319.9999999995;141814.62739657285;18776.486402145372;8704.397620114907;24191;765839.8738111159;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-12;1745413356.7816703;337894410.1971191;1599100.0;87693.2041005528;16967.94419310863;1985.3028441440572;125788;1385279.0437324098;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-13;1484344615.6204193;196873710.05547297;1422940.0000000002;106256.30131189566;23997.528030099813;375.3672014731677;15028;279257.6104401555;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-14;1497157323.9409719;174888472.06917506;2102930.0000000005;80726.10804524658;103495.81710883856;829.006282984901;10857;562723.38601539;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-15;1555251795.3592968;348029996.2164861;4949919.999999998;93360.72635163506;39051.07148322264;9372.620846246771;13558;573171.6204861925;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-16;896686369.8324581;271681896.5766874;1253530.0000000002;97691.02462229585;26580.849180643832;4828.031577619599;94882;207316.98728030306;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-17;1302614351.2750235;147303796.2964532;557413.9999999999;109625.92610461134;19599.43814760125;4173.6104659951825;9676;641112.3505143464;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-18;1135226734.002981;68694346.24539995;839006.0000000002;95818.89210918035;17439.741268640162;2782.4795768104373;4622;297866.39712775947;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-19;556941126.9945824;42025124.77661492;469068.0;76104.27674714536;16348.329191858302;7587.172619567608;74066;333313.4238328429;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-20;1175787490.6247997;65563005.1550968;569171.0;79742.27325183438;43653.12668367789;2382.0756285762823;19760;467489.5933259762;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-21;1416880180.0048287;104619897.36957416;519639.0;119872.8153952783;54472.1101650896;2913.920961671963;21016;543846.3978062818;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-22;1296402582.2604847;53503591.84289518;462921.0000000001;73406.88012398752;25492.051013142205;10593.6827067775;12901;468144.5604338489;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
2015-12-23;955949147.6136756;209649813.58485365;363393.0;94028.23144566064;34625.8397907789;13981.919713443542;40000;333657.8603050268;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
